unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
2,2nd O-declension,"chirurgicus, chirurgica, chirurgicum",,Adjective,,surgical,,chirurgisch,,chirurgický,,
2,2nd O-declension,rectum,rectī,Noun,neuter,rectum,lower part of the large intestine,das Rektum,,konečník,,
2,2nd O-declension,"ruber, rubra, rubrum",,Adjective,,red,,rot,,červený,,
2,2nd O-declension,signum,signī,Noun,neuter,sign,,das Zeichen,,znak,,
2,2nd O-declension,skeleton,skeletonī,Noun,neuter,skeleton,,das Skelett,,kostra,,
2,2nd O-declension,spasmus,spasmī,Noun,masculine,spasm,,der Spasmus,,kŕč,,
2,2nd O-declension,sub,,Preposition,,under,,unter,,pod,,Acc. and Abl.
2,2nd O-declension,sulcus,sulcī,Noun,masculine,"groove, furrow",,der Sulcus,,ryha,,
2,2nd O-declension,suppositorium,suppositoriī,Noun,neuter,suppository,,das Zäpfchen,,čapík,,
2,2nd O-declension,trochlea,trochleae,Noun,feminine,"trochlea, pulley",,die Trochlea,,kladka,,
2,2nd O-declension,tuberculum,tuberculī,Noun,neuter,"tubercle, small protuberance",,das Tuberkel,,hrbolček,,
2,2nd O-declension,uterus,uterī,Noun,masculine,"uterus, womb",,der Uterus,,maternica,,
2,2nd O-declension,venēnum,venēnī,Noun,neuter,"poison, venom",,das Gift,,jed,,
2,2nd O-declension,ventriculus,ventriculī,Noun,masculine,"1. ventricle, chamber (anat.) 2. stomach (clin.)",,der Ventrikel,,komora / žalúdok,,
2,2nd O-declension,vestibulum,vestibulī,Noun,neuter,"vestibule, hall",,das Vestibulum,,predsieň,,
2,2nd O-declension,vitrum,vitrī,Noun,neuter,bottle,,die Flasche,,fľaša,,
2,2nd O-declension,"chronicus, chronica, chronicum",,Adjective,,chronic,,chronisch,,chronický,,
2,2nd O-declension,cōlon,cōlī,Noun,neuter,"colon, large intestine segment",,der Dickdarm,,hrubé črevo,,
2,2nd O-declension,collum,collī,Noun,neuter,"1. neck 2. cervix",,der Hals,,krk / krčok,,
