atc_code,atc_name,parent_code,level
B01AF,Direct factor Xa inhibitors,B01A,4
B01AX,Other antithrombotic agents,B01A,4
B02AA,Amino acids,B02A,4
B02AB,Proteinase inhibitors,B02A,4
B02BA,Vitamin K,B02B,4
B02BB,Fibrinogen,B02B,4
B02BC,Local hemostatics,B02B,4
B02BD,Blood coagulation factors,B02B,4
B02BX,Other systemic hemostatics,B02B,4
B03AA,"Iron bivalent, oral preparations",B03A,4
B03AB,"Iron trivalent, oral preparations",B03A,4
B03AC,"Iron, parenteral preparations",B03A,4
B03AD,Iron in combination with folic acid,B03A,4
B03AE,Iron in other combinations,B03A,4
B03BA,Vitamin B12 (cyanocobalamin and analogues),B03B,4
B03BB,Folic acid and derivatives,B03B,4
B03XA,Other antianemic preparations,B03X,4
B05AA,Blood substitutes and plasma protein fractions,B05A,4
B05AX,Other blood products,B05A,4
B05BA,Solutions for parenteral nutrition,B05B,4
B05BB,Solutions affecting the electrolyte balance,B05B,4
B05BC,Solutions producing osmotic diuresis,B05B,4
B05CA,Antiinfectives,B05C,4
B05CB,Salt solutions,B05C,4
B05CX,Other irrigating solutions,B05C,4
B05DA,Isotonic solutions,B05D,4
B05DB,Hypertonic solutions,B05D,4
B05XA,Electrolyte solutions,B05X,4
B05XB,Amino acids,B05X,4
B05XC,Vitamins,B05X,4
B05XX,Other i.v. solution additives,B05X,4
B05ZA,"Hemodialytics, concentrates",B05Z,4
B05ZB,Hemofiltrates,B05Z,4
B06AA,Enzymes,B06A,4
B06AB,Heme products,B06A,4
B06AC,Drugs used in hereditary angioedema,B06A,4
B06AX,Other hematological agents,B06A,4
C,CARDIOVASCULAR SYSTEM,,1
C01,CARDIAC THERAPY,C,2
C02,ANTIHYPERTENSIVES,C,2
C03,DIURETICS,C,2
C04,PERIPHERAL VASODILATORS,C,2
C05,VASOPROTECTIVES,C,2
C07,BETA BLOCKING AGENTS,C,2
C08,CALCIUM CHANNEL BLOCKERS,C,2
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C,2
C10,LIPID MODIFYING AGENTS,C,2
C01A,CARDIAC GLYCOSIDES,C01,3
C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01,3
C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01,3
C01D,VASODILATORS USED IN CARDIAC DISEASES,C01,3
C01E,OTHER CARDIAC PREPARATIONS,C01,3
C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02,3
C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",C02,3
C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02,3
C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",C02,3
C02K,OTHER ANTIHYPERTENSIVES,C02,3
C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,C02,3
C02N,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,C02,3
C03A,"LOW-CEILING DIURETICS, THIAZIDES",C03,3
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",C03,3
C03C,HIGH-CEILING DIURETICS,C03,3
C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,C03,3
C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,C03,3
C03X,OTHER DIURETICS,C03,3
C04A,PERIPHERAL VASODILATORS,C04,3
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,C05,3
C05B,ANTIVARICOSE THERAPY,C05,3
C05C,CAPILLARY STABILIZING AGENTS,C05,3
C05X,OTHER VASOPROTECTIVES,C05,3
C07A,BETA BLOCKING AGENTS,C07,3
C07B,BETA BLOCKING AGENTS AND THIAZIDES,C07,3
C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,C07,3
C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",C07,3
C07E,BETA BLOCKING AGENTS AND VASODILATORS,C07,3
C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",C07,3
C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,C08,3
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,C08,3
C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,C08,3
C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,C08,3
C09A,"ACE INHIBITORS, PLAIN",C09,3
C09B,"ACE INHIBITORS, COMBINATIONS",C09,3
C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",C09,3
C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",C09,3
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09,3
C10A,"LIPID MODIFYING AGENTS, PLAIN",C10,3
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10,3
C01AA,Digitalis glycosides,C01A,4
C01AB,Scilla glycosides,C01A,4
C01AC,Strophanthus glycosides,C01A,4
C01AX,Other cardiac glycosides,C01A,4
C01BA,"Antiarrhythmics, class Ia",C01B,4
C01BB,"Antiarrhythmics, class Ib",C01B,4
C01BC,"Antiarrhythmics, class Ic",C01B,4
C01BD,"Antiarrhythmics, class III",C01B,4
C01BG,"Other antiarrhythmics, class I and III",C01B,4
C01CA,Adrenergic and dopaminergic agents,C01C,4
C01CE,Phosphodiesterase inhibitors,C01C,4
C01CX,Other cardiac stimulants,C01C,4
C01DA,Organic nitrates,C01D,4
C01DB,Quinolone vasodilators,C01D,4
C01DX,Other vasodilators used in cardiac diseases,C01D,4
C01EA,Prostaglandins,C01E,4
C01EB,Other cardiac preparations,C01E,4
C01EX,Other cardiac combination products,C01E,4
C02AA,Rauwolfia alkaloids,C02A,4
C02AB,Methyldopa,C02A,4
C02AC,Imidazoline receptor agonists,C02A,4
C02BA,Sulfonium derivatives,C02B,4
C02BB,Secondary and tertiary amines,C02B,4
C02BC,Bisquaternary ammonium compounds,C02B,4
C02CA,Alpha-adrenoreceptor antagonists,C02C,4
C02CC,Guanidine derivatives,C02C,4
C02DA,Thiazide derivatives,C02D,4
C02DB,Hydrazinophthalazine derivatives,C02D,4
C02DC,Pyrimidine derivatives,C02D,4
C02DD,Nitroferricyanide derivatives,C02D,4
C02DG,Guanidine derivatives,C02D,4
C02KA,"Alkaloids, excl. rauwolfia",C02K,4
C02KB,Tyrosine hydroxylase inhibitors,C02K,4
C02KC,MAO inhibitors,C02K,4
C02KD,Serotonin antagonists,C02K,4
C02KN,Other antihypertensives,C02K,4
C02KX,Antihypertensives for pulmonary arterial hypertension,C02K,4
C02LA,Rauwolfia alkaloids and diuretics in combination,C02L,4
C02LB,Methyldopa and diuretics in combination,C02L,4
C02LC,Imidazoline receptor agonists in combination with diuretics,C02L,4
C02LE,Alpha-adrenoreceptor antagonists and diuretics,C02L,4
C02LF,Guanidine derivatives and diuretics,C02L,4
C02LG,Hydrazinophthalazine derivatives and diuretics,C02L,4
C02LK,"Alkaloids, excl. rauwolfia, in combination with diuretics",C02L,4
C02LL,MAO inhibitors and diuretics,C02L,4
C02LN,Serotonin antagonists and diuretics,C02L,4
C02LX,Other antihypertensives and diuretics,C02L,4
C03AA,"Thiazides, plain",C03A,4
C03AB,Thiazides and potassium in combination,C03A,4
C03AH,"Thiazides, combinations with psycholeptics and/or analgesics",C03A,4
C03AX,"Thiazides, combinations with other drugs",C03A,4
C03BA,"Sulfonamides, plain",C03B,4
C03BB,Sulfonamides and potassium in combination,C03B,4
C03BC,Mercurial diuretics,C03B,4
C03BD,Xanthine derivatives,C03B,4
C03BK,"Sulfonamides, combinations with other drugs",C03B,4
C03BX,Other low-ceiling diuretics,C03B,4
C03CA,"Sulfonamides, plain",C03C,4
C03CB,Sulfonamides and potassium in combination,C03C,4
C03CC,Aryloxyacetic acid derivatives,C03C,4
