english_name,slovak_name,atc_primary,atc_all
nicotinamide,,A11HA01,A11HA01
pyridoxine (vit B6),,A11HA02,A11HA02
tocopherol (vit E),,A11HA03,A11HA03
riboflavin (vit B2),,A11HA04,A11HA04
biotin,,A11HA05,A11HA05
pyridoxal phosphate,,A11HA06,A11HA06
inositol,,A11HA07,A11HA07
tocofersolan,,A11HA08,A11HA08
dexpanthenol,,A11HA30,A11HA30;D03AX03;S01XA12
calcium pantothenate,,A11HA31,A11HA31;D03AX04
pantethine,,A11HA32,A11HA32
calcium phosphate,,A12AA01,A12AA01
calcium glubionate,,A12AA02,A12AA02
calcium gluconate,,A12AA03,A12AA03;B05XA19;D11AX03
calcium lactate,,A12AA05,A12AA05
calcium lactate gluconate,,A12AA06,A12AA06
calcium chloride,,A12AA07,A12AA07;B05XA07;G04BA03
calcium glycerylphosphate,,A12AA08,A12AA08
calcium citrate lysine complex,,A12AA09,A12AA09
calcium glucoheptonate,,A12AA10,A12AA10
calcium pangamate,,A12AA11,A12AA11
calcium citrate,,A12AA13,A12AA13
calcium (different salts in combination),,A12AA20,A12AA20
calcium laevulate,,A12AA30,A12AA30
potassium chloride,,A12BA01,A12BA01;B05XA01
potassium citrate,,A12BA02,A12BA02
potassium hydrogentartrate,,A12BA03,A12BA03
potassium hydrogencarbonate,,A12BA04,A12BA04
potassium gluconate,,A12BA05,A12BA05
potassium (different salts in combination),,A12BA30,A12BA30
"potassium chloride, combinations",,A12BA51,A12BA51
sodium chloride,,A12CA01,A12CA01;B05CB01;B05XA03
zinc sulfate,,A12CB01,A12CB01;B05XA18
zinc gluconate,,A12CB02,A12CB02
zinc protein complex,,A12CB03,A12CB03
magnesium chloride,,A12CC01,A12CC01;B05XA11
magnesium gluconate,,A12CC03,A12CC03
magnesium aspartate,,A12CC05,A12CC05
magnesium lactate,,A12CC06,A12CC06
magnesium levulinate,,A12CC07,A12CC07
magnesium pidolate,,A12CC08,A12CC08
