english_name,slovak_name,atc_primary,atc_all
ifenprodil,,C04AX28,C04AX28
azapetine,,C04AX30,C04AX30
fasudil,,C04AX32,C04AX32
clazosentan,,C04AX33,C04AX33
fluorometholone,,C05AA06,C05AA06;D07AB06;D07XB04;D10AA01;S01BA07;S01CB05
fluocortolone,,C05AA08,C05AA08;D07AC05;D07XC05;H02AB03
fluocinolone acetonide,,C05AA10,C05AA10;D07AC04;S01BA15;S02BA08
fluocinonide,,C05AA11,C05AA11;D07AC08
tetracaine,,C05AD02,C05AD02;D04AB06;N01BA03;S01HA03
benzocaine,,C05AD03,C05AD03;D04AB04;N01BA05;R02AD01
cinchocaine,,C05AD04,C05AD04;D04AB02;N01BB06;S01HA06;S02DA04
procaine,,C05AD05,C05AD05;N01BA02;S01HA05
oxetacaine,,C05AD06,C05AD06
pramocaine,,C05AD07,C05AD07;D04AB07
diltiazem,,C05AE03,C05AE03;C08DB01
aluminium preparations,,C05AX01,C05AX01
"bismuth preparations, combinations",,C05AX02,C05AX02
"other preparations, combinations",,C05AX03,C05AX03
zinc preparations,,C05AX04,C05AX04
tribenoside,,C05AX05,C05AX05;C05CX01
organo-heparinoid,,C05BA01,C05BA01
sodium apolate,,C05BA02,C05BA02
pentosan polysulfate sodium,,C05BA04,C05BA04;G04BX15
"heparinoid, combinations",,C05BA51,C05BA51
monoethanolamine oleate,,C05BB01,C05BB01
polidocanol,,C05BB02,C05BB02
invert sugar,,C05BB03,C05BB03
sodium tetradecyl sulfate,,C05BB04,C05BB04
phenol,,C05BB05,C05BB05;D08AE03;N01BX03;R02AA19
"glucose, combinations",,C05BB56,C05BB56
calcium dobesilate,,C05BX01,C05BX01
"calcium dobesilate, combinations",,C05BX51,C05BX51
rutoside,,C05CA01,C05CA01
monoxerutin,,C05CA02,C05CA02
diosmin,,C05CA03,C05CA03
troxerutin,,C05CA04,C05CA04
hidrosmin,,C05CA05,C05CA05
"rutoside, combinations",,C05CA51,C05CA51
"diosmin, combinations",,C05CA53,C05CA53
"troxerutin, combinations",,C05CA54,C05CA54
naftazone,,C05CX02,C05CX02
Hippocastani semen,,C05CX03,C05CX03
beperminogene perplasmid,,C05XX01,C05XX01
alprenolol,,C07AA01,C07AA01
oxprenolol,,C07AA02,C07AA02
pindolol,,C07AA03,C07AA03
propranolol,,C07AA05,C07AA05
timolol,,C07AA06,C07AA06;S01ED01
sotalol,,C07AA07,C07AA07
nadolol,,C07AA12,C07AA12
mepindolol,,C07AA14,C07AA14
carteolol,,C07AA15,C07AA15;S01ED05
tertatolol,,C07AA16,C07AA16
bopindolol,,C07AA17,C07AA17
bupranolol,,C07AA19,C07AA19
penbutolol,,C07AA23,C07AA23
cloranolol,,C07AA27,C07AA27
practolol,,C07AB01,C07AB01
metoprolol,,C07AB02,C07AB02
atenolol,,C07AB03,C07AB03
acebutolol,,C07AB04,C07AB04
betaxolol,,C07AB05,C07AB05;S01ED02
bevantolol,,C07AB06,C07AB06
bisoprolol,,C07AB07,C07AB07
celiprolol,,C07AB08,C07AB08
esmolol,,C07AB09,C07AB09
epanolol,,C07AB10,C07AB10
s-atenolol,,C07AB11,C07AB11
nebivolol,,C07AB12,C07AB12
talinolol,,C07AB13,C07AB13
landiolol,,C07AB14,C07AB14
labetalol,,C07AG01,C07AG01
carvedilol,,C07AG02,C07AG02
oxprenolol and thiazides,,C07BA02,C07BA02
propranolol and thiazides,,C07BA05,C07BA05
timolol and thiazides,,C07BA06,C07BA06
sotalol and thiazides,,C07BA07,C07BA07
nadolol and thiazides,,C07BA12,C07BA12
"metipranolol and thiazides, combinations",,C07BA68,C07BA68
metoprolol and thiazides,,C07BB02,C07BB02
atenolol and thiazides,,C07BB03,C07BB03
acebutolol and thiazides,,C07BB04,C07BB04
bevantolol and thiazides,,C07BB06,C07BB06
bisoprolol and thiazides,,C07BB07,C07BB07
nebivolol and thiazides,,C07BB12,C07BB12
"metoprolol and thiazides, combinations",,C07BB52,C07BB52
labetalol and thiazides,,C07BG01,C07BG01
oxprenolol and other diuretics,,C07CA02,C07CA02
pindolol and other diuretics,,C07CA03,C07CA03
bopindolol and other diuretics,,C07CA17,C07CA17
penbutolol and other diuretics,,C07CA23,C07CA23
metoprolol and other diuretics,,C07CB02,C07CB02
atenolol and other diuretics,,C07CB03,C07CB03
"atenolol and other diuretics, combinations",,C07CB53,C07CB53
labetalol and other diuretics,,C07CG01,C07CG01
"timolol, thiazides and other diuretics",,C07DA06,C07DA06
"atenolol, thiazides and other diuretics",,C07DB01,C07DB01
metoprolol and felodipine,,C07FB02,C07FB02
atenolol and nifedipine,,C07FB03,C07FB03
bisoprolol and amlodipine,,C07FB07,C07FB07
nebivolol and amlodipine,,C07FB12,C07FB12
metoprolol and amlodipine,,C07FB13,C07FB13
propranolol and other combinations,,C07FX01,C07FX01
sotalol and acetylsalicylic acid,,C07FX02,C07FX02
metoprolol and acetylsalicylic acid,,C07FX03,C07FX03
bisoprolol and acetylsalicylic acid,,C07FX04,C07FX04
metoprolol and ivabradine,,C07FX05,C07FX05
carvedilol and ivabradine,,C07FX06,C07FX06
amlodipine,,C08CA01,C08CA01
felodipine,,C08CA02,C08CA02
isradipine,,C08CA03,C08CA03
nicardipine,,C08CA04,C08CA04
nifedipine,,C08CA05,C08CA05
nimodipine,,C08CA06,C08CA06
nisoldipine,,C08CA07,C08CA07
nitrendipine,,C08CA08,C08CA08
lacidipine,,C08CA09,C08CA09
nilvadipine,,C08CA10,C08CA10
manidipine,,C08CA11,C08CA11
barnidipine,,C08CA12,C08CA12
lercanidipine,,C08CA13,C08CA13
cilnidipine,,C08CA14,C08CA14
benidipine,,C08CA15,C08CA15
clevidipine,,C08CA16,C08CA16
levamlodipine,,C08CA17,C08CA17
amlodipine and celecoxib,,C08CA51,C08CA51
"nifedipine, combinations",,C08CA55,C08CA55
mibefradil,,C08CX01,C08CX01
verapamil,,C08DA01,C08DA01
gallopamil,,C08DA02,C08DA02
"verapamil, combinations",,C08DA51,C08DA51
fendiline,,C08EA01,C08EA01
bepridil,,C08EA02,C08EA02
lidoflazine,,C08EX01,C08EX01
perhexiline,,C08EX02,C08EX02
nifedipine and diuretics,,C08GA01,C08GA01
amlodipine and diuretics,,C08GA02,C08GA02
captopril,,C09AA01,C09AA01
enalapril,,C09AA02,C09AA02
lisinopril,,C09AA03,C09AA03
perindopril,,C09AA04,C09AA04
ramipril,,C09AA05,C09AA05
quinapril,,C09AA06,C09AA06
benazepril,,C09AA07,C09AA07
cilazapril,,C09AA08,C09AA08
fosinopril,,C09AA09,C09AA09
trandolapril,,C09AA10,C09AA10
spirapril,,C09AA11,C09AA11
delapril,,C09AA12,C09AA12
moexipril,,C09AA13,C09AA13
temocapril,,C09AA14,C09AA14
zofenopril,,C09AA15,C09AA15
imidapril,,C09AA16,C09AA16
captopril and diuretics,,C09BA01,C09BA01
enalapril and diuretics,,C09BA02,C09BA02
lisinopril and diuretics,,C09BA03,C09BA03
perindopril and diuretics,,C09BA04,C09BA04
ramipril and diuretics,,C09BA05,C09BA05
quinapril and diuretics,,C09BA06,C09BA06
benazepril and diuretics,,C09BA07,C09BA07
cilazapril and diuretics,,C09BA08,C09BA08
fosinopril and diuretics,,C09BA09,C09BA09
delapril and diuretics,,C09BA12,C09BA12
moexipril and diuretics,,C09BA13,C09BA13
zofenopril and diuretics,,C09BA15,C09BA15
enalapril and lercanidipine,,C09BB02,C09BB02
lisinopril and amlodipine,,C09BB03,C09BB03
perindopril and amlodipine,,C09BB04,C09BB04
ramipril and felodipine,,C09BB05,C09BB05
enalapril and nitrendipine,,C09BB06,C09BB06
ramipril and amlodipine,,C09BB07,C09BB07
trandolapril and verapamil,,C09BB10,C09BB10
delapril and manidipine,,C09BB12,C09BB12
benazepril and amlodipine,,C09BB13,C09BB13
"perindopril, amlodipine and indapamide",,C09BX01,C09BX01
perindopril and bisoprolol,,C09BX02,C09BX02
"ramipril, amlodipine and hydrochlorothiazide",,C09BX03,C09BX03
"perindopril, bisoprolol and amlodipine",,C09BX04,C09BX04
ramipril and bisoprolol,,C09BX05,C09BX05
"perindopril, bisoprolol, amlodipine and indapamide",,C09BX06,C09BX06
zofenopril and nebivolol,,C09BX07,C09BX07
losartan,,C09CA01,C09CA01
eprosartan,,C09CA02,C09CA02
valsartan,,C09CA03,C09CA03
irbesartan,,C09CA04,C09CA04
tasosartan,,C09CA05,C09CA05
candesartan,,C09CA06,C09CA06
telmisartan,,C09CA07,C09CA07
olmesartan medoxomil,,C09CA08,C09CA08
azilsartan medoxomil,,C09CA09,C09CA09
fimasartan,,C09CA10,C09CA10
losartan and diuretics,,C09DA01,C09DA01
eprosartan and diuretics,,C09DA02,C09DA02
valsartan and diuretics,,C09DA03,C09DA03
irbesartan and diuretics,,C09DA04,C09DA04
candesartan and diuretics,,C09DA06,C09DA06
telmisartan and diuretics,,C09DA07,C09DA07
olmesartan medoxomil and diuretics,,C09DA08,C09DA08
azilsartan medoxomil and diuretics,,C09DA09,C09DA09
fimasartan and diuretics,,C09DA10,C09DA10
valsartan and amlodipine,,C09DB01,C09DB01
olmesartan medoxomil and amlodipine,,C09DB02,C09DB02
telmisartan and amlodipine,,C09DB04,C09DB04
irbesartan and amlodipine,,C09DB05,C09DB05
losartan and amlodipine,,C09DB06,C09DB06
candesartan and amlodipine,,C09DB07,C09DB07
valsartan and lercanidipine,,C09DB08,C09DB08
fimasartan and amlodipine,,C09DB09,C09DB09
"valsartan, amlodipine and hydrochlorothiazide",,C09DX01,C09DX01
valsartan and aliskiren,,C09DX02,C09DX02
"olmesartan medoxomil, amlodipine and hydrochlorothiazide",,C09DX03,C09DX03
valsartan and sacubitril,,C09DX04,C09DX04
valsartan and nebivolol,,C09DX05,C09DX05
"candesartan, amlodipine and hydrochlorothiazide",,C09DX06,C09DX06
"irbesartan, amlodipine and hydrochlorothiazide",,C09DX07,C09DX07
"telmisartan, amlodipine and hydrochlorothiazide",,C09DX08,C09DX08
remikiren,,C09XA01,C09XA01
aliskiren,,C09XA02,C09XA02
aliskiren and hydrochlorothiazide,,C09XA52,C09XA52
aliskiren and amlodipine,,C09XA53,C09XA53
"aliskiren, amlodipine and hydrochlorothiazide",,C09XA54,C09XA54
simvastatin,,C10AA01,C10AA01
lovastatin,,C10AA02,C10AA02
pravastatin,,C10AA03,C10AA03
fluvastatin,,C10AA04,C10AA04
atorvastatin,,C10AA05,C10AA05
cerivastatin,,C10AA06,C10AA06
rosuvastatin,,C10AA07,C10AA07
pitavastatin,,C10AA08,C10AA08
clofibrate,,C10AB01,C10AB01
bezafibrate,,C10AB02,C10AB02
aluminium clofibrate,,C10AB03,C10AB03
gemfibrozil,,C10AB04,C10AB04
fenofibrate,,C10AB05,C10AB05
simfibrate,,C10AB06,C10AB06
ronifibrate,,C10AB07,C10AB07
ciprofibrate,,C10AB08,C10AB08
etofibrate,,C10AB09,C10AB09
clofibride,,C10AB10,C10AB10
choline fenofibrate,,C10AB11,C10AB11
pemafibrate,,C10AB12,C10AB12
colestyramine,,C10AC01,C10AC01
colestipol,,C10AC02,C10AC02
colextran,,C10AC03,C10AC03
colesevelam,,C10AC04,C10AC04
niceritrol,,C10AD01,C10AD01
nicofuranose,,C10AD03,C10AD03
aluminium nicotinate,,C10AD04,C10AD04
acipimox,,C10AD06,C10AD06
"nicotinic acid, combinations",,C10AD52,C10AD52
dextrothyroxine,,C10AX01,C10AX01
probucol,,C10AX02,C10AX02
tiadenol,,C10AX03,C10AX03
meglutol,,C10AX05,C10AX05
omega-3-triglycerides incl. other esters and acids,,C10AX06,C10AX06
magnesium pyridoxal 5-phosphate glutamate,,C10AX07,C10AX07
policosanol,,C10AX08,C10AX08
ezetimibe,,C10AX09,C10AX09
alipogene tiparvovec,,C10AX10,C10AX10
mipomersen,,C10AX11,C10AX11
lomitapide,,C10AX12,C10AX12
evolocumab,,C10AX13,C10AX13
alirocumab,,C10AX14,C10AX14
bempedoic acid,,C10AX15,C10AX15
inclisiran,,C10AX16,C10AX16
evinacumab,,C10AX17,C10AX17
volanesorsen,,C10AX18,C10AX18
lovastatin and nicotinic acid,,C10BA01,C10BA01
simvastatin and ezetimibe,,C10BA02,C10BA02
pravastatin and fenofibrate,,C10BA03,C10BA03
simvastatin and fenofibrate,,C10BA04,C10BA04
atorvastatin and ezetimibe,,C10BA05,C10BA05
rosuvastatin and ezetimibe,,C10BA06,C10BA06
rosuvastatin and omega-3 fatty acids,,C10BA07,C10BA07
atorvastatin and omega-3 fatty acids,,C10BA08,C10BA08
rosuvastatin and fenofibrate,,C10BA09,C10BA09
bempedoic acid and ezetimibe,,C10BA10,C10BA10
pravastatin and ezetimibe,,C10BA11,C10BA11
"pravastatin, ezetimibe and fenofibrate",,C10BA12,C10BA12
simvastatin and acetylsalicylic acid,,C10BX01,C10BX01
pravastatin and acetylsalicylic acid,,C10BX02,C10BX02
atorvastatin and amlodipine,,C10BX03,C10BX03
"simvastatin, acetylsalicylic acid and ramipril",,C10BX04,C10BX04
rosuvastatin and acetylsalicylic acid,,C10BX05,C10BX05
"atorvastatin, acetylsalicylic acid and ramipril",,C10BX06,C10BX06
"rosuvastatin, amlodipine and lisinopril",,C10BX07,C10BX07
atorvastatin and acetylsalicylic acid,,C10BX08,C10BX08
rosuvastatin and amlodipine,,C10BX09,C10BX09
rosuvastatin and valsartan,,C10BX10,C10BX10
"atorvastatin, amlodipine and perindopril",,C10BX11,C10BX11
"atorvastatin, acetylsalicylic acid and perindopril",,C10BX12,C10BX12
"rosuvastatin, perindopril and indapamide",,C10BX13,C10BX13
"rosuvastatin, amlodipine and perindopril",,C10BX14,C10BX14
atorvastatin and perindopril,,C10BX15,C10BX15
rosuvastatin and fimasartan,,C10BX16,C10BX16
rosuvastatin and ramipril,,C10BX17,C10BX17
"atorvastatin, amlodipine and ramipril",,C10BX18,C10BX18
"atorvastatin, amlodipine and candesartan",,C10BX19,C10BX19
rosuvastatin and telmisartan,,C10BX20,C10BX20
rosuvastatin and perindopril,,C10BX21,C10BX21
hachimycin,,D01AA03,D01AA03;G01AA06;J02AA02
pecilocin,,D01AA04,D01AA04
pyrrolnitrin,,D01AA07,D01AA07
griseofulvin,,D01AA08,D01AA08;D01BA01
econazole,,D01AC03,D01AC03;G01AF05
chlormidazole,,D01AC04,D01AC04
isoconazole,,D01AC05,D01AC05;G01AF07
tiabendazole,,D01AC06,D01AC06;P02CA02
tioconazole,,D01AC07,D01AC07;G01AF08
ketoconazole,,D01AC08,D01AC08;G01AF11;H02CA03;J02AB02
sulconazole,,D01AC09,D01AC09
bifonazole,,D01AC10,D01AC10
oxiconazole,,D01AC11,D01AC11;G01AF17
fenticonazole,,D01AC12,D01AC12;G01AF12
omoconazole,,D01AC13,D01AC13;G01AF16
sertaconazole,,D01AC14,D01AC14;G01AF19
fluconazole,,D01AC15,D01AC15;J02AC01
flutrimazole,,D01AC16,D01AC16;G01AF18
eberconazole,,D01AC17,D01AC17
luliconazole,,D01AC18,D01AC18
efinaconazole,,D01AC19,D01AC19
imidazoles/triazoles in combination with corticosteroids,,D01AC20,D01AC20
neticonazole,,D01AC21,D01AC21
lanoconazole,,D01AC22,D01AC22
"miconazole, combinations",,D01AC52,D01AC52
"bifonazole, combinations",,D01AC60,D01AC60
bromochlorosalicylanilide,,D01AE01,D01AE01
methylrosaniline,,D01AE02,D01AE02;G01AX09
tribromometacresol,,D01AE03,D01AE03
undecylenic acid,,D01AE04,D01AE04
2-(4-chlorphenoxy)-ethanol,,D01AE06,D01AE06
chlorphenesin,,D01AE07,D01AE07
ticlatone,,D01AE08,D01AE08
sulbentine,,D01AE09,D01AE09
ethyl hydroxybenzoate,,D01AE10,D01AE10
haloprogin,,D01AE11,D01AE11
salicylic acid,,D01AE12,D01AE12;S01BC08
selenium sulfide,,D01AE13,D01AE13
ciclopirox,,D01AE14,D01AE14;G01AX12
terbinafine,,D01AE15,D01AE15;D01BA02
amorolfine,,D01AE16,D01AE16
dimazole,,D01AE17,D01AE17
tolnaftate,,D01AE18,D01AE18
tolciclate,,D01AE19,D01AE19
flucytosine,,D01AE21,D01AE21;J02AX01
naftifine,,D01AE22,D01AE22
butenafine,,D01AE23,D01AE23
tavaborole,,D01AE24,D01AE24
liranaftate,,D01AE25,D01AE25
"undecylenic acid, combinations",,D01AE54,D01AE54
fosravuconazole,,D01BA03,D01BA03
"carbamide, combinations",,D02AE51,D02AE51
aminobenzoic acid,,D02BA01,D02BA01
octinoxate,,D02BA02,D02BA02
afamelanotide,,D02BB02,D02BB02
cadexomer iodine,,D03AX01,D03AX01
dextranomer,,D03AX02,D03AX02
hyaluronic acid,,D03AX05,D03AX05;M09AX01;R01AX09;S01KA01
crilanomer,,D03AX09,D03AX09
enoxolone,,D03AX10,D03AX10
sodium chlorite,,D03AX11,D03AX11
trolamine,,D03AX12,D03AX12
Betulae cortex,,D03AX13,D03AX13
"Centella asiatica herba, incl. combinations",,D03AX14,D03AX14
trafermin,,D03AX15,D03AX15
beremagene geperpavec,,D03AX16,D03AX16
collagenase,,D03BA02,D03BA02
bromelains,,D03BA03,D03BA03;M09AB03
"collagenase, combinations",,D03BA52,D03BA52
thonzylamine,,D04AA01,D04AA01;R01AC06;R06AC06
mepyramine,,D04AA02,D04AA02;R06AC01
thenalidine,,D04AA03,D04AA03;R06AX03
tripelennamine,,D04AA04,D04AA04;R06AC04
chloropyramine,,D04AA09,D04AA09;R06AC03
promethazine,,D04AA10,D04AA10;R06AD02
tolpropamine,,D04AA12,D04AA12
dimetindene,,D04AA13,D04AA13;R06AB03
clemastine,,D04AA14,D04AA14;R06AA04
bamipine,,D04AA15,D04AA15;R06AX01
pheniramine,,D04AA16,D04AA16;R06AB05
isothipendyl,,D04AA22,D04AA22;R06AD09
diphenhydramine,,D04AA32,D04AA32;R06AA02
diphenhydramine methylbromide,,D04AA33,D04AA33
chlorphenoxamine,,D04AA34,D04AA34;R06AA06
oxybuprocaine,,D04AB03,D04AB03;S01HA02
quinisocaine,,D04AB05,D04AB05
doxepin,,D04AX01,D04AX01;N06AA12
dithranol,,D05AC01,D05AC01
"dithranol, combinations",,D05AC51,D05AC51
trioxysalen,,D05AD01,D05AD01;D05BA01
methoxsalen,,D05AD02,D05AD02;D05BA02
fumaric acid,,D05AX01,D05AX01
calcipotriol,,D05AX02,D05AX02
tacalcitol,,D05AX04,D05AX04
tazarotene,,D05AX05,D05AX05
roflumilast,,D05AX06,D05AX06;R03DX07
tapinarof,,D05AX07,D05AX07
"calcipotriol, combinations",,D05AX52,D05AX52
tazarotene and ulobetasol,,D05AX55,D05AX55
bergapten,,D05BA03,D05BA03
etretinate,,D05BB01,D05BB01
acitretin,,D05BB02,D05BB02
"fumaric acid derivatives, combinations",,D05BX51,D05BX51
demeclocycline,,D06AA01,D06AA01;J01AA01
fusidic acid,,D06AX01,D06AX01;D09AA02;J01XC01;S01AA13
chloramphenicol,,D06AX02,D06AX02;D10AF03;G01AA05;J01BA01;S01AA01;S02AA01;S03AA08
bacitracin,,D06AX05,D06AX05;J01XX10;R02AB04;S01AA32
gentamicin,,D06AX07,D06AX07;J01GB03;S01AA11;S02AA14;S03AA06
tyrothricin,,D06AX08,D06AX08;R02AB02;S01AA05
mupirocin,,D06AX09,D06AX09;R01AX06
virginiamycin,,D06AX10,D06AX10
amikacin,,D06AX12,D06AX12;J01GB06;S01AA21
retapamulin,,D06AX13,D06AX13
ozenoxacin,,D06AX14,D06AX14
silver sulfadiazine,,D06BA01,D06BA01
sulfathiazole,,D06BA02,D06BA02;J01EB07
mafenide,,D06BA03,D06BA03
sulfanilamide,,D06BA05,D06BA05;J01EB06
sulfamerazine,,D06BA06,D06BA06;J01ED07
"silver sulfadiazine, combinations",,D06BA51,D06BA51
idoxuridine,,D06BB01,D06BB01;J05AB02;S01AD01
tromantadine,,D06BB02,D06BB02;J05AC03
aciclovir,,D06BB03,D06BB03;J05AB01;S01AD03
podophyllotoxin,,D06BB04,D06BB04
inosine,,D06BB05,D06BB05;G01AX02;S01XA10
penciclovir,,D06BB06,D06BB06;J05AB13
lysozyme,,D06BB07,D06BB07;J05AX02
ibacitabine,,D06BB08,D06BB08
edoxudine,,D06BB09,D06BB09
imiquimod,,D06BB10,D06BB10
docosanol,,D06BB11,D06BB11
sinecatechins,,D06BB12,D06BB12
"aciclovir, combinations",,D06BB53,D06BB53
ingenol mebutate,,D06BX02,D06BX02
tirbanibulin,,D06BX03,D06BX03
methylprednisolone,,D07AA01,D07AA01;D10AA02;H02AB04
clobetasone,,D07AB01,D07AB01;S01BA09
hydrocortisone butyrate,,D07AB02,D07AB02
flumetasone,,D07AB03,D07AB03;D07XB01
fluocortin,,D07AB04,D07AB04
fluperolone,,D07AB05,D07AB05
fluprednidene,,D07AB07,D07AB07;D07XB03
desonide,,D07AB08,D07AB08;S01BA11
alclometasone,,D07AB10,D07AB10;S01BA10
hydrocortisone buteprate,,D07AB11,D07AB11
clocortolone,,D07AB21,D07AB21
combinations of corticosteroids,,D07AB30,D07AB30;D07XB30
fluclorolone,,D07AC02,D07AC02
desoximetasone,,D07AC03,D07AC03;D07XC02
diflucortolone,,D07AC06,D07AC06;D07XC04
fludroxycortide,,D07AC07,D07AC07
diflorasone,,D07AC10,D07AC10
amcinonide,,D07AC11,D07AC11
halometasone,,D07AC12,D07AC12
mometasone,,D07AC13,D07AC13;D07XC03;R01AD09;R03BA07
methylprednisolone aceponate,,D07AC14,D07AC14
hydrocortisone aceponate,,D07AC16,D07AC16
fluticasone,,D07AC17,D07AC17;R01AD08;R03BA05
prednicarbate,,D07AC18,D07AC18
difluprednate,,D07AC19,D07AC19;S01BA16
ulobetasol,,D07AC21,D07AC21
clobetasol,,D07AD01,D07AD01
halcinonide,,D07AD02,D07AD02
prednisolone and antiseptics,,D07BA01,D07BA01
hydrocortisone and antiseptics,,D07BA04,D07BA04
flumetasone and antiseptics,,D07BB01,D07BB01
desonide and antiseptics,,D07BB02,D07BB02
triamcinolone and antiseptics,,D07BB03,D07BB03
hydrocortisone butyrate and antiseptics,,D07BB04,D07BB04
betamethasone and antiseptics,,D07BC01,D07BC01
fluocinolone acetonide and antiseptics,,D07BC02,D07BC02
fluocortolone and antiseptics,,D07BC03,D07BC03
diflucortolone and antiseptics,,D07BC04,D07BC04
hydrocortisone and antibiotics,,D07CA01,D07CA01
methylprednisolone and antibiotics,,D07CA02,D07CA02
prednisolone and antibiotics,,D07CA03,D07CA03
triamcinolone and antibiotics,,D07CB01,D07CB01
fluprednidene and antibiotics,,D07CB02,D07CB02
fluorometholone and antibiotics,,D07CB03,D07CB03
dexamethasone and antibiotics,,D07CB04,D07CB04
flumetasone and antibiotics,,D07CB05,D07CB05
betamethasone and antibiotics,,D07CC01,D07CC01
fluocinolone acetonide and antibiotics,,D07CC02,D07CC02
fludroxycortide and antibiotics,,D07CC03,D07CC03
beclometasone and antibiotics,,D07CC04,D07CC04
fluocinonide and antibiotics,,D07CC05,D07CC05
fluocortolone and antibiotics,,D07CC06,D07CC06
clobetasol and antibiotics,,D07CD01,D07CD01
aminoacridine,,D08AA02,D08AA02
euflavine,,D08AA03,D08AA03
dibrompropamidine,,D08AC01,D08AC01;S01AX14
propamidine,,D08AC03,D08AC03;S01AX15
hexamidine,,D08AC04,D08AC04;R01AX07;R02AA18;S01AX08;S03AA05
polihexanide,,D08AC05,D08AC05;S01AX24
"chlorhexidine, combinations",,D08AC52,D08AC52
hexachlorophene,,D08AE01,D08AE01
policresulen,,D08AE02,D08AE02;G01AX03
triclosan,,D08AE04,D08AE04;D09AA06
chloroxylenol,,D08AE05,D08AE05
biphenylol,,D08AE06,D08AE06
iodine/octylphenoxypolyglycolether,,D08AG01,D08AG01
povidone-iodine,,D08AG02,D08AG02;D09AA09;D11AC06;G01AX11;R02AA15;S01AX18
iodine,,D08AG03,D08AG03
diiodohydroxypropane,,D08AG04,D08AG04
dequalinium,,D08AH01,D08AH01;G01AC05;R02AA02
chlorquinaldol,,D08AH02,D08AH02;G01AC03;P01AA04;R02AA11
clioquinol,,D08AH30,D08AH30;D09AA10;G01AC02;P01AA02;S02AA05
benzalkonium,,D08AJ01,D08AJ01;D09AA11;R02AA16
cetrimonium,,D08AJ02,D08AJ02;R02AA17
cetrimide,,D08AJ04,D08AJ04;D11AC01
didecyldimethylammonium chloride,,D08AJ06,D08AJ06
benzethonium chloride,,D08AJ08,D08AJ08
decamethoxine,,D08AJ10,D08AJ10
"octenidine, combinations",,D08AJ57,D08AJ57;G01AX66
"benzethonium chloride, combinations",,D08AJ58,D08AJ58
"dodeclonium bromide, combinations",,D08AJ59,D08AJ59
mercuric amidochloride,,D08AK01,D08AK01
phenylmercuric borate,,D08AK02,D08AK02
mercuric chloride,,D08AK03,D08AK03
merbromin,,D08AK04,D08AK04
"mercury, metallic",,D08AK05,D08AK05
thiomersal,,D08AK06,D08AK06
mercuric iodide,,D08AK30,D08AK30
silver nitrate,,D08AL01,D08AL01
silver,,D08AL30,D08AL30
eosin,,D08AX02,D08AX02
propanol,,D08AX03,D08AX03
tosylchloramide sodium,,D08AX04,D08AX04
isopropanol,,D08AX05,D08AX05
potassium permanganate,,D08AX06,D08AX06;V03AB18
sodium hypochlorite,,D08AX07,D08AX07
ethanol,,D08AX08,D08AX08;V03AB16;V03AZ01
"propanol, combinations",,D08AX53,D08AX53
framycetin,,D09AA01,D09AA01;R01AX08;S01AA07
phenylmercuric nitrate,,D09AA04,D09AA04
benzododecinium,,D09AA05,D09AA05
aluminium chlorohydrate,,D09AA08,D09AA08;M05BX02
iodoform,,D09AA13,D09AA13
zinc bandage without supplements,,D09AB01,D09AB01
zinc bandage with supplements,,D09AB02,D09AB02
bithionol,,D10AB01,D10AB01;P02BX01
sulfur,,D10AB02,D10AB02
tioxolone,,D10AB03,D10AB03
mesulfen,,D10AB05,D10AB05;P03AA03
tretinoin,,D10AD01,D10AD01;L01XF01
retinol,,D10AD02,D10AD02;R01AX02;S01XA02
adapalene,,D10AD03,D10AD03
isotretinoin,,D10AD04,D10AD04;D10BA01
motretinide,,D10AD05,D10AD05
trifarotene,,D10AD06,D10AD06
"tretinoin, combinations",,D10AD51,D10AD51
"adapalene, combinations",,D10AD53,D10AD53
"isotretinoin, combinations",,D10AD54,D10AD54
benzoyl peroxide,,D10AE01,D10AE01
"benzoyl peroxide, combinations",,D10AE51,D10AE51
clindamycin,,D10AF01,D10AF01;G01AA10;J01FF01
erythromycin,,D10AF02,D10AF02;J01FA01;S01AA17
meclocycline,,D10AF04,D10AF04
nadifloxacin,,D10AF05,D10AF05
sulfacetamide,,D10AF06,D10AF06;S01AB04
"clindamycin, combinations",,D10AF51,D10AF51
"erythromycin, combinations",,D10AF52,D10AF52
aluminium chloride,,D10AX01,D10AX01
resorcinol,,D10AX02,D10AX02;S01AX06
azelaic acid,,D10AX03,D10AX03
aluminium oxide,,D10AX04,D10AX04
dapsone,,D10AX05,D10AX05;J04BA02
clascoterone,,D10AX06,D10AX06
ichtasol,,D10BX01,D10BX01
glycopyrronium,,D11AA01,D11AA01
cadmium compounds,,D11AC02,D11AC02
selenium compounds,,D11AC03,D11AC03
sulfur compounds,,D11AC08,D11AC08
xenysalate,,D11AC09,D11AC09
others,,D11AC30,D11AC30
tacrolimus,,D11AH01,D11AH01;L04AD02
pimecrolimus,,D11AH02,D11AH02
alitretinoin,,D11AH04,D11AH04;L01XF02
dupilumab,,D11AH05,D11AH05
crisaborole,,D11AH06,D11AH06
tralokinumab,,D11AH07,D11AH07
abrocitinib,,D11AH08,D11AH08
ruxolitinib,,D11AH09,D11AH09;L01EJ01
lebrikizumab,,D11AH10,D11AH10
delgocitinib,,D11AH11,D11AH11
nemolizumab,,D11AH12,D11AH12
gamolenic acid,,D11AX02,D11AX02
