drug_id,english_name,slovak_name,atc_primary,atc_other,,mechanism_of_action,primary_indications,secondary_indications,routes_of_administration,standard_adult_dose,contraindications_absolute,contraindications_relative,adverse_effects_common,adverse_effects_serious,major_interactions,monitoring_parameters,antidote_or_reversal,half_life,metabolism,elimination
drug_bevonium_and_psycholeptics,bevonium and psycholeptics,,A03CA06,,,,,,,,,,,,,,,,,,
drug_ambutonium_and_psycholeptics,ambutonium and psycholeptics,,A03CA07,,,,,,,,,,,,,,,,,,
drug_diphemanil_and_psycholeptics,diphemanil and psycholeptics,,A03CA08,,,,,,,,,,,,,,,,,,
drug_pipenzolate_and_psycholeptics,pipenzolate and psycholeptics,,A03CA09,,,,,,,,,,,,,,,,,,
drug_emepronium_and_psycholeptics,emepronium and psycholeptics,,A03CA30,,,,,,,,,,,,,,,,,,
drug_propantheline_and_psycholeptics,propantheline and psycholeptics,,A03CA34,,,,,,,,,,,,,,,,,,
drug_methylscopolamine_and_psycholeptics,methylscopolamine and psycholeptics,,A03CB01,,,,,,,,,,,,,,,,,,
drug_belladonna_total_alkaloids_and_psycholeptics,belladonna total alkaloids and psycholeptics,,A03CB02,,,,,,,,,,,,,,,,,,
drug_atropine_and_psycholeptics,atropine and psycholeptics,,A03CB03,,,,,,,,,,,,,,,,,,
drug_homatropine_methylbromide_and_psycholeptics,homatropine methylbromide and psycholeptics,,A03CB04,,,,,,,,,,,,,,,,,,
drug_hyoscyamine_and_psycholeptics,hyoscyamine and psycholeptics,,A03CB31,,,,,,,,,,,,,,,,,,
drug_tropenzilone_and_analgesics,tropenzilone and analgesics,,A03DA01,,,,,,,,,,,,,,,,,,
drug_pitofenone_and_analgesics,pitofenone and analgesics,,A03DA02,,,,,,,,,,,,,,,,,,
drug_bevonium_and_analgesics,bevonium and analgesics,,A03DA03,,,,,,,,,,,,,,,,,,
drug_ciclonium_and_analgesics,ciclonium and analgesics,,A03DA04,,,,,,,,,,,,,,,,,,
drug_camylofin_and_analgesics,camylofin and analgesics,,A03DA05,,,,,,,,,,,,,,,,,,
drug_trospium_and_analgesics,trospium and analgesics,,A03DA06,,,,,,,,,,,,,,,,,,
drug_tiemonium_iodide_and_analgesics,tiemonium iodide and analgesics,,A03DA07,,,,,,,,,,,,,,,,,,
drug_butylscopolamine_and_analgesics,butylscopolamine and analgesics,,A03DB04,,,,,,,,,,,,,,,,,,
drug_metoclopramide,metoclopramide,,A03FA01,,,,,,,,,,,,,,,,,,
drug_cisapride,cisapride,,A03FA02,,,,,,,,,,,,,,,,,,
drug_domperidone,domperidone,,A03FA03,,,,,,,,,,,,,,,,,,
drug_bromopride,bromopride,,A03FA04,,,,,,,,,,,,,,,,,,
drug_alizapride,alizapride,,A03FA05,,,,,,,,,,,,,,,,,,
