muscle_region_en,muscle_region_sk,muscle_region_ge,muscle_category_en,muscle_category_sk,muscle_category_ge,latin_muscle_name,english_muscle_name,muscle_part,type_of_movement,innervation,blood_supply,origo,insercio
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus longissimus capitis,Longissimus capitis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus spinalis,Spinalis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus spinalis thoracis,Spinalis thoracis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus spinalis cervicis,Spinalis cervicis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Erector spinae),Hlboké svaly chrbta (Vzpriamovače chrbtice),,Musculus spinalis capitis,Spinalis capitis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculi transversospinales,Transversospinal muscles,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculus semispinalis,Semispinalis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculus semispinalis thoracis,Semispinalis thoracis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculus semispinalis cervicis,Semispinalis cervicis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculus semispinalis capitis,Semispinalis capitis muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculus multifidus,Multifidus muscle,,,,,
Muscles of the Back,Svaly chrbta,Rückenmuskulatur,Intrinsic back muscles (Transversospinales),Hlboké svaly chrbta (Transversospinálne svaly),,Musculi rotatores,Rotatores muscles,,,,,
